NR,LK,LKNR,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022
171,LK Ilm-Kreis,16070,681,566,409,372,363,397,358
174,LK Jerichower Land,15086,191,198,238,182,153,153,153
176,LK Kaiserslautern,7335,308,402,326,504,574,574,622
178,LK Karlsruhe,8215,977,1104,1191,1197,1142,1271,1429
180,LK Kassel,6633,427,448,495,468,473,480,552
182,LK Kelheim,9273,218,217,240,221,251,256,271
185,LK Kitzingen,9675,122,144,180,219,225,248,255
186,LK Kleve,5154,509,551,635,678,755,808,907
189,LK Konstanz,8335,757,789,849,656,787,843,966
191,LK Kronach,9476,107,120,126,119,124,154,163
192,LK Kulmbach,9477,87,116,126,111,123,145,157
193,LK Kusel,7336,105,119,127,138,165,179,186
194,LK Kyffhäuserkreis,16065,215,213,209,212,206,200,217
195,LK Lahn-Dill-Kreis,6532,316,341,416,439,489,561,561
197,LK Landsberg a.Lech,9181,308,297,324,292,423,416,537
199,LK Landshut,9274,318,349,394,424,401,466,511
200,LK Leer,3457,173,189,204,213,224,263,263
202,LK Leipzig,14729,911,912,919,867,787,851,870
204,LK Lichtenfels,9478,128,105,124,114,127,123,155
205,LK Limburg-Weilburg,6533,252,318,397,442,467,523,506
206,LK Lindau,9776,249,274,295,272,298,361,405
207,LK Lippe,5766,769,851,924,987,1141,1363,1363
208,LK Lörrach,8336,778,897,951,877,1059,1061,1137
210,LK Lüchow-Dannenberg,3354,70,55,94,108,122,141,141
211,LK Ludwigsburg,8118,1012,1037,1251,1219,1285,1412,1514
213,LK Ludwigslust-Parchim,13076,429,500,529,561,604,677,707
214,LK Lüneburg,3355,388,391,501,589,676,781,771
216,LK Main-Kinzig-Kreis,6435,852,965,1082,1160,1351,1466,1466
217,LK Main-Spessart,9677,216,208,215,235,257,268,317
218,LK Main-Tauber-Kreis,8128,245,248,297,316,314,359,394
219,LK Main-Taunus-Kreis,6436,468,511,541,568,602,619,806
221,LK Mainz-Bingen,7339,376,478,580,662,737,747,731
223,LK Mansfeld-Südharz,15087,353,364,384,373,349,344,358
224,LK Marburg-Biedenkopf,6534,247,368,415,467,549,638,634
225,LK Märkischer Kreis,5962,1047,1260,1446,1594,1691,1915,1805
226,LK Märkisch-Oderland,12064,639,596,621,621,755,853,875
227,LK Mayen-Koblenz,7137,317,349,386,450,509,517,491
228,LK Mecklenburgische Seenplatte,13071,914,949,1022,1090,1291,1365,1441
229,LK Meißen,14627,984,958,1009,974,995,915,836
231,LK Merzig-Wadern,10042,211,228,244,279,277,305,327
232,LK Mettmann,5158,1213,1250,1369,1546,1842,1948,2069
233,LK Miesbach,9182,228,230,268,280,328,335,393
234,LK Miltenberg,9676,229,286,328,367,343,354,393
235,LK Minden-Lübbecke,5770,852,949,943,1024,1224,1224,1224
236,LK Mittelsachsen,14522,1010,744,771,789,724,801,846
238,LK Mühldorf a.Inn,9183,264,209,156,301,378,425,424
241,LK München,9184,713,760,867,1071,1154,1208,1298
243,LK Neckar-Odenwald-Kreis,8225,384,404,397,359,338,400,412
244,LK Neuburg-Schrobenhausen,9185,150,197,227,249,248,275,262
245,LK Neumarkt i.d.OPf.,9373,247,238,272,208,300,284,278
247,LK Neunkirchen,10043,258,287,301,323,340,386,373
248,LK Neustadt a.d.Aisch-Bad Windsheim,9575,135,128,166,174,201,193,203
249,LK Neustadt a.d.Waldnaab,9374,143,169,161,163,158,189,205
251,LK Neu-Ulm,9775,276,295,349,392,417,463,480
252,LK Neuwied,7138,241,259,248,304,324,405,492
253,LK Nienburg (Weser),3256,173,177,171,210,262,262,262
